Word,Unit,Qty,Srv,Ing
butter,O,O,O,O
##ed,O,O,O,O
baking,O,O,O,O
dish,O,O,O,O
and,O,O,O,O
ba,O,O,O,O
##ke,O,O,O,O
one,O,O,O,O
-,O,O,O,O
half,O,O,O,O
hour,O,O,O,O
.,O,O,O,O
stuffed,O,O,O,O
olive,O,O,O,O
##s,O,O,O,O
are,O,O,O,O
a,O,O,O,O
good,O,O,O,O
addition,O,O,O,O
.,O,O,O,O
(,O,O,O,O
serves,O,O,O,O
four,O,O,O,O
.,O,O,O,O
),O,O,O,O
salad,O,O,O,O
##s,O,O,O,O
e,O,O,O,O
dressing,O,O,O,O
##s,O,O,O,O
good,O,O,O,O
salad,O,O,O,O
to,O,O,O,O
serve,O,O,O,O
with,O,O,O,O
baked,O,O,O,O
fish,O,O,O,O
2,O,B-Qty,O,O
orange,B-Unit,O,O,B-Ing
##s,I-Unit,O,O,I-Ing
(,O,O,O,O
cut,O,O,O,O
into,O,O,O,O
small,B-Unit,O,O,O
sections,O,O,O,O
),O,O,O,O
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
cup,B-Unit,O,O,O
chopped,O,O,O,B-Ing
ce,O,O,O,I-Ing
##ler,O,O,O,I-Ing
##y,O,O,O,I-Ing
ethel,O,O,O,O
k,O,O,O,O
##ra,O,O,O,O
##uter,O,O,O,O
bell,O,O,O,O
chicago,O,O,O,O
ill,O,O,O,O
.,O,O,O,O
northwestern,O,O,O,O
university,O,O,O,O
.,O,O,O,O
tomato,O,O,O,O
tuna,O,O,O,O
fish,O,O,O,O
salad,O,O,O,O
1,O,B-Qty,O,O
envelope,B-Unit,O,O,O
gel,O,O,O,B-Ing
##atin,O,O,O,I-Ing
##e,O,O,O,I-Ing
soaked,O,O,O,O
in,O,O,O,O
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
cup,B-Unit,O,O,O
cold,O,O,O,O
water,O,O,O,B-Ing
2,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##ns,I-Unit,O,O,O
vinegar,O,O,O,B-Ing
pin,B-Unit,O,O,O
##t,I-Unit,O,O,O
tomatoes,O,O,O,B-Ing
salt,O,O,O,O
tomatoes,O,O,O,O
and,O,O,O,O
boil,O,O,O,O
for,O,O,O,O
ten,O,O,O,O
minutes,O,O,O,O
.,O,O,O,O
add,O,O,O,O
gel,O,O,O,O
##atin,O,O,O,O
##e,O,O,O,O
and,O,O,O,O
vinegar,O,O,O,O
.,O,O,O,O
when,O,O,O,O
dissolved,O,O,O,O
strain,O,O,O,O
.,O,O,O,O
when,O,O,O,O
chilled,O,O,O,O
enough,O,O,O,O
that,O,O,O,O
it,O,O,O,O
begins,O,O,O,O
to,O,O,O,O
set,O,O,O,O
add,O,O,O,O
small,O,O,O,O
can,O,O,O,O
of,O,O,O,O
tuna,O,O,O,O
fish,O,O,O,O
fl,B-Unit,O,O,O
##ake,O,O,O,O
##d,O,O,O,O
.,O,O,O,O
mix,O,O,O,O
thoroughly,O,O,O,O
and,O,O,O,O
pour,O,O,O,O
into,O,O,O,O
mold,O,O,O,O
dipped,O,O,O,O
in,O,O,O,O
cold,O,O,O,O
water,O,O,O,O
.,O,O,O,O
serve,O,O,O,O
on,O,O,O,O
let,O,O,O,O
##tu,O,O,O,O
##ce,O,O,O,O
with,O,O,O,O
salad,O,O,O,O
dressing,O,O,O,O
.,O,O,O,O
ruth,O,O,O,O
m,O,O,O,O
.,O,O,O,O
bi,O,O,O,O
##el,O,O,O,O
##by,O,O,O,O
syracuse,O,O,O,O
n,O,O,O,O
.,O,O,O,O
y,O,O,O,O
.,O,O,O,O
syracuse,O,O,O,O
university,O,O,O,O
.,O,O,O,O
salmon,O,O,O,O
salad,O,O,O,O
1,O,B-Qty,O,O
can,B-Unit,O,O,O
salmon,O,O,O,B-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
cup,B-Unit,O,O,O
ce,O,O,O,B-Ing
##ler,O,O,O,I-Ing
##y,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
cup,B-Unit,O,O,O
olive,O,O,O,B-Ing
##s,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##ns,I-Unit,O,O,O
onion,O,O,O,B-Ing
juice,O,O,O,I-Ing
3,O,B-Qty,O,O
hard,O,O,O,B-Ing
cooked,O,O,O,I-Ing
eggs,B-Unit,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
cup,B-Unit,O,O,O
english,O,O,O,B-Ing
walnut,O,O,O,I-Ing
##s,O,O,O,I-Ing
use,O,O,O,O
a,O,O,O,O
cooked,O,O,O,O
dressing,O,O,O,O
.,O,O,O,O
mix,O,O,O,O
everything,O,O,O,O
just,O,O,O,O
before,O,O,O,O
adding,O,O,O,O
salmon,O,O,O,O
.,O,O,O,O
do,O,O,O,O
this,O,O,O,O
by,O,O,O,O
tossing,O,O,O,O
the,O,O,O,O
materials,O,O,O,O
with,O,O,O,O
a,O,O,O,O
fork,O,O,O,O
.,O,O,O,O
be,O,O,O,O
careful,O,O,O,O
that,O,O,O,O
pieces,O,O,O,O
of,O,O,O,O
salmon,O,O,O,O
are,O,O,O,O
not,O,O,O,O
too,O,O,O,O
fine,O,O,O,O
or,O,O,O,O
mu,O,O,O,O
##sh,O,O,O,O
##y,O,O,O,O
.,O,O,O,O
serve,O,O,O,O
on,O,O,O,O
let,O,O,O,O
##tu,O,O,O,O
##ce,O,O,O,O
leaves,O,O,O,O
.,O,O,O,O
jessie,O,O,O,O
rich,O,O,O,O
##man,O,O,O,O
villa,O,O,O,O
grove,O,O,O,O
iii,O,O,O,O
.,O,O,O,O
illinois,O,O,O,O
wesleyan,O,O,O,O
university,O,O,O,O
.,O,O,O,O
mo,O,O,O,O
##uld,O,O,O,O
##ed,O,O,O,O
salmon,O,O,O,O
salad,O,O,O,O
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
salmon,O,O,O,B-Ing
2,O,B-Qty,O,O
eggs,B-Unit,O,O,B-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
tea,B-Unit,O,O,O
##sp,I-Unit,O,O,O
##oon,I-Unit,O,O,O
salt,O,O,O,B-Ing
3,O,B-Qty,O,O
/,O,I-Qty,O,O
4,O,I-Qty,O,O
cup,B-Unit,O,O,O
milk,O,O,O,B-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##n,I-Unit,O,O,O
mustard,O,O,O,B-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
4,O,I-Qty,O,O
cup,B-Unit,O,O,O
vinegar,O,O,O,B-Ing
ca,O,O,O,B-Ing
##yen,O,O,O,I-Ing
##ne,O,O,O,I-Ing
1,O,B-Qty,O,O
1,O,I-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##ns,I-Unit,O,O,O
gel,O,O,O,B-Ing
##atin,O,O,O,I-Ing
##e,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
4,O,I-Qty,O,O
cup,B-Unit,O,O,O
cold,O,O,O,O
water,O,O,O,B-Ing
make,O,O,O,O
soft,O,O,O,O
cu,O,O,O,O
##star,O,O,O,O
##d,O,O,O,O
of,O,O,O,O
milk,O,O,O,O
eggs,O,O,O,O
dry,O,O,O,O
ingredients,O,O,O,O
and,O,O,O,O
vinegar,O,O,O,O
.,O,O,O,O
soft,O,O,O,O
##en,O,O,O,O
gel,O,O,O,O
##atin,O,O,O,O
##e,O,O,O,O
in,O,O,O,O
cold,O,O,O,O
water,O,O,O,O
and,O,O,O,O
dissolve,O,O,O,O
in,O,O,O,O
cu,O,O,O,O
##star,O,O,O,O
##d,O,O,O,O
.,O,O,O,O
add,O,O,O,O
salmon,O,O,O,O
.,O,O,O,O
mo,O,O,O,O
##uld,O,O,O,O
chill,O,O,O,O
and,O,O,O,O
serve,O,O,O,O
with,O,O,O,O
mayo,O,O,O,O
##nna,O,O,O,O
##ise,O,O,O,O
.,O,O,O,O
irene,O,O,O,O
mad,O,O,O,O
##ill,O,O,O,O
toronto,O,O,O,O
can,O,O,O,O
.,O,O,O,O
university,O,O,O,O
of,O,O,O,O
toronto,O,O,O,O
.,O,O,O,O
crab,O,O,O,O
salad,O,O,O,O
loaf,O,O,O,O
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
crab,O,O,O,B-Ing
meat,O,O,O,I-Ing
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
whipping,O,O,O,B-Ing
cream,O,O,O,I-Ing
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
cabbage,O,O,O,B-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
cup,B-Unit,O,O,O
mayo,O,O,O,B-Ing
##nna,O,O,O,I-Ing
##ise,O,O,O,I-Ing
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
ce,O,O,O,B-Ing
##ler,O,O,O,I-Ing
##y,O,O,O,I-Ing
1,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##n,I-Unit,O,O,O
gel,O,O,O,B-Ing
##atin,O,O,O,I-Ing
##e,O,O,O,I-Ing
cut,O,O,O,O
up,O,O,O,O
crab,O,O,O,O
meat,O,O,O,O
into,O,O,O,O
small,O,O,O,O
pieces,O,O,O,O
.,O,O,O,O
chop,O,O,O,O
ce,O,O,O,O
##ler,O,O,O,O
##y,O,O,O,O
and,O,O,O,O
cabbage,O,O,O,O
.,O,O,O,O
whip,O,O,O,O
the,O,O,O,O
cream,O,O,O,O
and,O,O,O,O
add,O,O,O,O
the,O,O,O,O
mayo,O,O,O,O
##nna,O,O,O,O
##ise,O,O,O,O
and,O,O,O,O
gel,O,O,O,O
##atin,O,O,O,O
##e,O,O,O,O
which,O,O,O,O
has,O,O,O,O
been,O,O,O,O
dissolved,O,O,O,O
over,O,O,O,O
hot,O,O,O,O
water,O,O,O,O
.,O,O,O,O
combine,O,O,O,O
with,O,O,O,O
ce,O,O,O,O
##ler,O,O,O,O
##y,O,O,O,O
cabbage,O,O,O,O
and,O,O,O,O
crab,O,O,O,O
.,O,O,O,O
place,O,O,O,O
in,O,O,O,O
wet,O,O,O,O
mold,O,O,O,O
and,O,O,O,O
chill,O,O,O,O
thoroughly,O,O,O,O
.,O,O,O,O
serve,O,O,O,O
on,O,O,O,O
let,O,O,O,O
##tu,O,O,O,O
##ce,O,O,O,O
leaves,O,O,O,O
.,O,O,O,O
margaret,O,O,O,O
stout,O,O,O,O
keel,O,O,O,O
##ey,O,O,O,O
till,O,O,O,O
##amo,O,O,O,O
##ok,O,O,O,O
ore,O,O,O,O
.,O,O,O,O
university,O,O,O,O
of,O,O,O,O
minnesota,O,O,O,O
.,O,O,O,O
cl,O,O,O,O
##leg,O,O,O,O
##e,O,O,O,O
w,O,O,O,O
o,O,O,O,O
m,O,O,O,O
a,O,O,O,O
n,O,O,O,O
s,O,O,O,O
c,O,O,O,O
o,O,O,O,O
o,O,O,O,O
k,O,O,O,O
b,O,O,O,O
o,O,O,O,O
o,O,O,O,O
k,O,O,O,O
38,O,O,O,O
salmon,O,O,O,O
loaf,O,O,O,O
with,O,O,O,O
cu,O,O,O,O
##cum,O,O,O,O
##ber,O,O,O,O
sauce,O,O,O,O
(,O,O,O,O
excellent,O,O,O,O
summer,O,O,O,O
dish,O,O,O,O
),O,O,O,O
so,O,O,O,O
##ak,O,O,O,O
3,O,B-Qty,O,O
/,O,I-Qty,O,O
4,O,I-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##n,I-Unit,O,O,O
gel,O,O,O,B-Ing
##atin,O,O,O,I-Ing
##e,O,O,O,I-Ing
in,O,O,O,O
2,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##ns,I-Unit,O,O,O
cold,O,O,O,O
water,O,O,O,B-Ing
and,O,O,O,O
stir,O,O,O,O
this,O,O,O,O
into,O,O,O,O
2,O,B-Qty,O,O
tall,B-Unit,O,O,O
cans,I-Unit,O,O,O
of,O,O,O,O
salmon,O,O,O,B-Ing
-,O,O,O,I-Ing
fl,O,O,O,I-Ing
##ake,O,O,O,I-Ing
##d,O,O,O,I-Ing
make,O,O,O,O
the,O,O,O,O
following,O,O,O,O
boiled,O,O,O,O
dressing,O,O,O,O
and,O,O,O,O
stir,O,O,O,O
into,O,O,O,O
the,O,O,O,O
above,O,O,O,O
and,O,O,O,O
then,O,O,O,O
pour,O,O,O,O
into,O,O,O,O
loaf,O,O,O,O
tin,O,O,O,O
to,O,O,O,O
set,O,O,O,O
:,O,O,O,O
1,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##n,I-Unit,O,O,O
sugar,O,O,O,B-Ing
3,O,B-Qty,O,O
/,O,I-Qty,O,O
4,O,I-Qty,O,O
cup,B-Unit,O,O,O
milk,O,O,O,B-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
tea,B-Unit,O,O,O
##sp,I-Unit,O,O,O
##oon,I-Unit,O,O,O
salt,O,O,O,B-Ing
yo,B-Unit,O,O,B-Ing
##lk,I-Unit,O,O,I-Ing
##s,O,O,O,I-Ing
of,O,O,O,I-Ing
2,O,B-Qty,O,I-Ing
raw,O,O,O,I-Ing
eggs,O,O,O,I-Ing
2,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##ns,I-Unit,O,O,O
flour,O,O,O,B-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
4,O,I-Qty,O,O
cup,B-Unit,O,O,O
vinegar,O,O,O,B-Ing
1,O,B-Qty,O,O
tea,B-Unit,O,O,O
##sp,I-Unit,O,O,O
##oon,I-Unit,O,O,O
dry,O,O,O,O
mustard,O,O,O,B-Ing
dash,B-Unit,O,O,O
of,O,O,O,O
pa,O,O,O,B-Ing
##pr,O,O,O,I-Ing
##ika,O,O,O,I-Ing
add,O,O,O,O
salt,O,O,O,O
and,O,O,O,O
pa,O,O,O,O
##pr,O,O,O,O
##ika,O,O,O,O
gradually,O,O,O,O
stir,O,O,O,O
in,O,O,O,O
vinegar,O,O,O,O
.,O,O,O,O
margaret,O,O,O,O
chase,O,O,O,O
schmidt,O,O,O,O
evans,O,O,O,O
##ton,O,O,O,O
ill,O,O,O,O
.,O,O,O,O
northwestern,O,O,O,O
university,O,O,O,O
.,O,O,O,O
crab,O,O,O,O
salad,O,O,O,O
two,B-Qty,O,O,O
fresh,O,O,O,O
crabs,B-Unit,O,O,B-Ing
one,O,B-Qty,O,O
cup,B-Unit,O,O,O
of,O,O,O,O
mayo,O,O,O,B-Ing
##nna,O,O,O,I-Ing
##ise,O,O,O,I-Ing
to,O,O,O,O
which,O,O,O,O
add,O,O,O,O
:,O,O,O,O
1,O,B-Qty,O,O
/,O,I-Qty,O,O
4,O,I-Qty,O,O
cup,B-Unit,O,O,O
of,O,O,O,O
cats,O,O,O,B-Ing
##up,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
4,O,I-Qty,O,O
tea,B-Unit,O,O,O
##sp,I-Unit,O,O,O
##oon,I-Unit,O,O,O
prepared,O,O,O,B-Ing
mu,O,O,O,I-Ing
##s,O,O,O,I-Ing
-,O,O,O,I-Ing
tar,O,O,O,I-Ing
##d,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
cup,B-Unit,O,O,O
min,O,O,O,B-Ing
##ced,O,O,O,I-Ing
ce,O,O,O,I-Ing
##ler,O,O,O,I-Ing
##y,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
4,O,I-Qty,O,O
cup,B-Unit,O,O,O
min,O,O,O,B-Ing
##ced,O,O,O,I-Ing
green,O,O,O,I-Ing
peppers,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
4,O,I-Qty,O,O
tea,B-Unit,O,O,O
##sp,I-Unit,O,O,O
##oon,I-Unit,O,O,O
horse,O,O,O,B-Ing
##rad,O,O,O,I-Ing
##ish,O,O,O,I-Ing
mix,O,O,O,O
well,O,O,O,O
and,O,O,O,O
pour,O,O,O,O
over,O,O,O,O
crab,O,O,O,O
meat,O,O,O,O
.,O,O,O,O
ga,O,O,O,O
##rn,O,O,O,O
##ish,O,O,O,O
with,O,O,O,O
fresh,O,O,O,O
tomatoes,O,O,O,O
and,O,O,O,O
hard,O,O,O,O
cooked,O,O,O,O
eggs,O,O,O,O
.,O,O,O,O
mabel,O,O,O,O
osborne,O,O,O,O
pasadena,O,O,O,O
cal,O,O,O,O
##if,O,O,O,O
.,O,O,O,O
university,O,O,O,O
of,O,O,O,O
southern,O,O,O,O
california,O,O,O,O
.,O,O,O,O
tomato,O,O,O,O
salad,O,O,O,O
1,O,B-Qty,O,O
pin,B-Unit,O,O,O
##t,I-Unit,O,O,O
canned,O,O,O,B-Ing
tomatoes,O,O,O,I-Ing
1,O,B-Qty,O,O
large,B-Unit,O,O,O
tables,I-Unit,O,O,O
##poo,I-Unit,O,O,O
##n,I-Unit,O,O,O
gel,O,O,O,B-Ing
##atin,O,O,O,I-Ing
##e,O,O,O,I-Ing
salt,O,O,O,B-Ing
and,O,O,O,O
red,O,O,O,B-Ing
pepper,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
cup,B-Unit,O,O,O
finely,O,O,O,B-Ing
chopped,O,O,O,I-Ing
ce,O,O,O,I-Ing
##l,O,O,O,I-Ing
-,O,O,O,I-Ing
er,O,O,O,I-Ing
##y,O,O,O,I-Ing
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
chopped,O,O,O,B-Ing
white,O,O,O,I-Ing
grapes,O,O,O,I-Ing
and,O,O,O,O
nut,O,O,O,B-Ing
##me,O,O,O,I-Ing
##ats,O,O,O,I-Ing
1,O,B-Qty,O,O
green,O,O,O,B-Ing
pepper,O,O,O,I-Ing
shredded,O,O,O,O
stew,O,O,O,O
and,O,O,O,O
strain,O,O,O,O
tomatoes,O,O,O,O
.,O,O,O,O
season,O,O,O,O
with,O,O,O,O
salt,O,O,O,O
and,O,O,O,O
red,O,O,O,O
pepper,O,O,O,O
.,O,O,O,O
add,O,O,O,O
other,O,O,O,O
ingredients,O,O,O,O
and,O,O,O,O
mold,O,O,O,O
.,O,O,O,O
serve,O,O,O,O
on,O,O,O,O
let,O,O,O,O
##tu,O,O,O,O
##ce,O,O,O,O
with,O,O,O,O
mayo,O,O,O,O
##nna,O,O,O,O
##ise,O,O,O,O
dressing,O,O,O,O
.,O,O,O,O
thor,O,O,O,O
##borg,O,O,O,O
sw,O,O,O,O
##ens,O,O,O,O
##on,O,O,O,O
rock,O,O,O,O
##ford,O,O,O,O
ill,O,O,O,O
.,O,O,O,O
university,O,O,O,O
of,O,O,O,O
wisconsin,O,O,O,O
.,O,O,O,O
shamrock,O,O,O,O
salad,O,O,O,O
(,O,O,O,O
six,O,O,O,O
serving,O,O,O,O
##s,O,O,O,O
),O,O,O,O
3,O,B-Qty,O,O
green,B-Unit,O,O,B-Ing
peppers,I-Unit,O,O,I-Ing
6,O,B-Qty,O,O
stuffed,O,O,O,B-Ing
olive,B-Unit,O,O,I-Ing
##s,I-Unit,O,O,I-Ing
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
cream,O,O,O,B-Ing
cheese,O,O,O,I-Ing
let,O,O,O,B-Ing
##tu,O,O,O,I-Ing
##ce,O,O,O,I-Ing
stuff,O,O,O,O
well,O,O,O,O
washed,O,O,O,O
and,O,O,O,O
scraped,O,O,O,O
peppers,O,O,O,O
with,O,O,O,O
cheese,O,O,O,O
seasoned,O,O,O,O
and,O,O,O,O
mixed,O,O,O,O
with,O,O,O,O
chopped,O,O,O,O
olive,O,O,O,O
##s,O,O,O,O
.,O,O,O,O
chill,O,O,O,O
one,O,O,O,O
hour,O,O,O,O
.,O,O,O,O
cut,O,O,O,O
in,O,O,O,O
slices,O,O,O,O
serving,O,O,O,O
three,O,O,O,O
or,O,O,O,O
four,O,O,O,O
on,O,O,O,O
each,O,O,O,O
leaf,O,O,O,O
of,O,O,O,O
let,O,O,O,O
##tu,O,O,O,O
##ce,O,O,O,O
.,O,O,O,O
edith,O,O,O,O
v,O,O,O,O
.,O,O,O,O
gr,O,O,O,O
##up,O,O,O,O
##e,O,O,O,O
buffalo,O,O,O,O
n,O,O,O,O
.,O,O,O,O
y,O,O,O,O
.,O,O,O,O
university,O,O,O,O
of,O,O,O,O
buffalo,O,O,O,O
.,O,O,O,O
college,O,O,O,O
w,O,O,O,O
o,O,O,O,O
m,O,O,O,O
a,O,O,O,O
n,O,O,O,O
s,O,O,O,O
c,O,O,O,O
o,O,O,O,O
o,O,O,O,O
k,O,O,O,O
b,O,O,O,O
o,O,O,O,O
o,O,O,O,O
k,O,O,O,O
39,O,O,O,O
edith,O,O,O,O
cr,O,O,O,O
##oun,O,O,O,O
##se,O,O,O,O
ko,O,O,O,O
##lb,O,O,O,O
bethlehem,O,O,O,O
pa,O,O,O,O
.,O,O,O,O
syracuse,O,O,O,O
university,O,O,O,O
.,O,O,O,O
argyle,O,O,O,
salad,O,O,O,O
dressing,O,O,O,O
:,O,O,O,O
4,O,B-Qty,O,O
egg,O,O,O,B-Ing
yo,B-Unit,O,O,I-Ing
##lk,I-Unit,O,O,I-Ing
##s,I-Unit,O,O,I-Ing
beaten,O,O,O,O
1,O,B-Qty,O,O
tea,B-Unit,O,O,O
##sp,I-Unit,O,O,O
##oon,I-Unit,O,O,O
salt,O,O,O,B-Ing
4,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##ns,I-Unit,O,O,O
vinegar,O,O,O,B-Ing
1,O,B-Qty,O,O
tea,B-Unit,O,O,O
##sp,I-Unit,O,O,O
##oon,I-Unit,O,O,O
mustard,O,O,O,B-Ing
1,O,B-Qty,O,O
tea,B-Unit,O,O,O
##sp,I-Unit,O,O,O
##oon,I-Unit,O,O,O
butter,O,O,O,B-Ing
1,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##n,I-Unit,O,O,O
sugar,O,O,O,B-Ing
little,O,O,O,O
red,O,O,O,B-Ing
pepper,O,O,O,I-Ing
mix,O,O,O,O
together,O,O,O,O
in,O,O,O,O
double,O,O,O,O
boiler,O,O,O,O
and,O,O,O,O
cook,O,O,O,O
for,O,O,O,O
five,O,O,O,O
minutes,O,O,O,O
after,O,O,O,O
it,O,O,O,O
begins,O,O,O,O
to,O,O,O,O
thick,O,O,O,O
##en,O,O,O,O
.,O,O,O,O
stir,O,O,O,O
constantly,O,O,O,O
.,O,O,O,O
when,O,O,O,O
cool,O,O,O,O
cut,O,O,O,O
fine,O,O,O,O
.,O,O,O,O
arrange,O,O,O,O
halves,O,O,O,O
on,O,O,O,O
let,O,O,O,O
##tu,O,O,O,O
##ce,O,O,O,O
leaves,O,O,O,O
and,O,O,O,O
serve,O,O,O,O
with,O,O,O,O
above,O,O,O,O
dressing,O,O,O,O
.,O,O,O,O
this,O,O,O,O
serves,O,O,O,O
eight,O,O,O,O
.,O,O,O,O
bern,O,O,O,O
##ice,O,O,O,O
wo,O,O,O,O
##eh,O,O,O,O
##ler,O,O,O,O
taylor,O,O,O,O
minneapolis,O,O,O,O
min,O,O,O,O
##n,O,O,O,O
.,O,O,O,O
university,O,O,O,O
of,O,O,O,O
minnesota,O,O,O,O
.,O,O,O,O
black,O,O,O,O
cherry,O,O,O,O
salad,O,O,O,O
1,O,B-Qty,O,O
can,B-Unit,O,O,O
black,O,O,O,B-Ing
cher,O,O,O,I-Ing
##ries,O,O,O,I-Ing
small,B-Unit,O,O,O
quantity,I-Unit,O,O,O
of,O,O,O,O
blanche,O,O,O,B-Ing
##d,O,O,O,I-Ing
almond,O,O,O,I-Ing
##s,O,O,O,I-Ing
small,B-Unit,O,O,O
bottle,I-Unit,O,O,O
pi,O,O,O,B-Ing
##mento,O,O,O,I-Ing
stuffed,O,O,O,I-Ing
olive,O,O,O,I-Ing
##s,O,O,O,I-Ing
2,O,B-Qty,O,O
boxes,B-Unit,O,O,O
lemon,O,O,O,B-Ing
je,O,O,O,I-Ing
##llo,O,O,O,I-Ing
.,O,O,O,O
take,O,O,O,O
juice,O,O,O,O
from,O,O,O,O
cher,O,O,O,O
##ries,O,O,O,O
add,O,O,O,O
enough,O,O,O,O
water,O,O,O,O
to,O,O,O,O
make,O,O,O,O
a,O,O,O,O
qu,O,O,O,O
##art,O,O,O,O
of,O,O,O,O
liquid,O,O,O,O
.,O,O,O,O
bring,O,O,O,O
this,O,O,O,O
to,O,O,O,O
boiling,O,O,O,O
point,O,O,O,O
and,O,O,O,O
dissolve,O,O,O,O
je,O,O,O,O
##llo,O,O,O,O
in,O,O,O,O
it,O,O,O,O
.,O,O,O,O
cool,O,O,O,O
add,O,O,O,O
pitted,O,O,O,O
cher,O,O,O,O
##ries,O,O,O,O
olive,O,O,O,O
##s,O,O,O,O
sliced,O,O,O,O
in,O,O,O,O
thin,O,O,O,O
slices,O,O,O,O
and,O,O,O,O
the,O,O,O,O
half,O,O,O,O
almond,O,O,O,O
##s,O,O,O,O
.,O,O,O,O
pour,O,O,O,O
in,O,O,O,O
shallow,O,O,O,O
pan,O,O,O,O
and,O,O,O,O
when,O,O,O,O
cold,O,O,O,O
cut,O,O,O,O
in,O,O,O,O
squares,O,O,O,O
and,O,O,O,O
serve,O,O,O,O
on,O,O,O,O
let,O,O,O,O
##tu,O,O,O,O
##ce,O,O,O,O
with,O,O,O,O
salad,O,O,O,O
dressing,O,O,O,O
.,O,O,O,O
gladys,O,O,O,O
becker,O,O,O,O
murphy,O,O,O,O
chicago,O,O,O,O
ill,O,O,O,O
.,O,O,O,O
northwestern,O,O,O,O
university,O,O,O,O
.,O,O,O,O
frozen,O,O,O,O
salad,O,O,O,O
3,O,B-Qty,O,O
/,O,I-Qty,O,O
4,O,I-Qty,O,O
pound,B-Unit,O,O,O
green,O,O,O,B-Ing
grapes,O,O,O,I-Ing
1,O,B-Qty,O,O
tea,B-Unit,O,O,O
##sp,I-Unit,O,O,O
##oon,I-Unit,O,O,O
knox,O,O,O,B-Ing
gel,O,O,O,I-Ing
##atin,O,O,O,I-Ing
##e,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
4,O,I-Qty,O,O
pound,B-Unit,O,O,O
english,O,O,O,B-Ing
walnut,O,O,O,I-Ing
##s,O,O,O,I-Ing
1,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##n,I-Unit,O,O,O
sugar,O,O,O,B-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
3,O,I-Qty,O,O
pound,B-Unit,O,O,O
almond,O,O,O,B-Ing
##s,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
pin,B-Unit,O,O,O
##t,I-Unit,O,O,O
mara,O,O,O,B-Ing
##sch,O,O,O,I-Ing
##ino,O,O,O,I-Ing
cher,O,O,O,I-Ing
##ries,O,O,O,I-Ing
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
salad,O,O,O,B-Ing
dressing,O,O,O,I-Ing
1,O,B-Qty,O,O
